POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
1,KLRahul,132,69,14,7,191.30,RCB,Dubai International Cricket Stadium,24 September 2020
2,BenStokes,107,60,14,3,178.33,MI,Zayed Cricket Stadium,25 October 2020
3,ShikharDhawan,101,58,14,1,174.13,CSK,Sharjah Cricket Stadium,17 October 2020
4,NitishRana,81,53,13,1,152.83,DC,Zayed Cricket Stadium,24 October 2020
5,WriddhimanSaha,87,45,12,2,193.33,DC,Dubai International Cricket Stadium,27 October 2020
6,ShikharDhawan,106,61,12,3,173.77,KXIP,Dubai International Cricket Stadium,20 October 2020
7,DevduttPadikkal,74,45,12,1,164.44,MI,Zayed Cricket Stadium,28 October 2020
8,SuryakumarYadav,79,47,11,2,168.08,RR,Zayed Cricket Stadium,06 October 2020
9,Fafdu Plessis,87,53,11,1,164.15,KXIP,Dubai International Cricket Stadium,04 October 2020
10,ShaneWatson,83,53,11,3,156.60,KXIP,Dubai International Cricket Stadium,04 October 2020
11,MayankAgarwal,106,50,10,7,212.00,RR,Sharjah Cricket Stadium,27 September 2020
12,SuryakumarYadav,79,43,10,3,183.72,RCB,Zayed Cricket Stadium,28 October 2020
13,DavidWarner,85,58,10,1,146.55,MI,Sharjah Cricket Stadium,03 November 2020
14,NitishRana,87,61,10,4,142.62,CSK,Dubai International Cricket Stadium,29 October 2020
15,Quintonde Kock,78,44,9,3,177.27,KKR,Zayed Cricket Stadium,16 October 2020
16,PrithviShaw,64,43,9,1,148.83,CSK,Dubai International Cricket Stadium,25 September 2020
17,DineshKarthik,58,29,8,2,200.00,KXIP,Zayed Cricket Stadium,10 October 2020
18,DavidWarner,66,34,8,2,194.11,DC,Dubai International Cricket Stadium,27 October 2020
19,RahulTripathi,81,51,8,3,158.82,CSK,Zayed Cricket Stadium,07 October 2020
20,RohitSharma,70,45,8,3,155.55,KXIP,Zayed Cricket Stadium,01 October 2020
21,IshanKishan,72,47,8,3,153.19,DC,Dubai International Cricket Stadium,31 October 2020
22,DevduttPadikkal,56,42,8,0,133.33,SRH,Dubai International Cricket Stadium,21 September 2020
23,MandeepSingh,66,56,8,2,117.85,KKR,Sharjah Cricket Stadium,26 October 2020
24,MarcusStoinis,53,21,7,3,252.38,KXIP,Dubai International Cricket Stadium,20 September 2020
25,ShreyasIyer,88,38,7,6,231.57,KKR,Sharjah Cricket Stadium,03 October 2020
26,RobinUthappa,41,22,7,1,186.36,RCB,Dubai International Cricket Stadium,17 October 2020
27,SteveSmith,50,27,7,2,185.18,KXIP,Sharjah Cricket Stadium,27 September 2020
28,JonnyBairstow,97,55,7,6,176.36,KXIP,Dubai International Cricket Stadium,08 October 2020
29,KLRahul,77,51,7,3,150.98,MI,Dubai International Cricket Stadium,18 October 2020
30,AaronFinch,52,35,7,1,148.57,MI,Dubai International Cricket Stadium,28 September 2020
31,MayankAgarwal,89,60,7,4,148.33,DC,Dubai International Cricket Stadium,20 September 2020
32,KaneWilliamson,57,39,7,0,146.15,CSK,Dubai International Cricket Stadium,13 October 2020
33,JosButtler,70,48,7,2,145.83,CSK,Zayed Cricket Stadium,19 October 2020
34,ViratKohli,72,53,7,2,135.84,RR,Zayed Cricket Stadium,03 October 2020
35,WriddhimanSaha,58,45,7,1,128.88,MI,Sharjah Cricket Stadium,03 November 2020
36,JonnyBairstow,36,28,7,0,128.57,KKR,Zayed Cricket Stadium,18 October 2020
37,KLRahul,69,54,7,1,127.77,RR,Sharjah Cricket Stadium,27 September 2020
38,KLRahul,63,52,7,1,121.15,CSK,Dubai International Cricket Stadium,04 October 2020
39,MarcusStoinis,53,26,6,2,203.84,RCB,Dubai International Cricket Stadium,05 October 2020
40,SunilNarine,64,32,6,4,200.00,DC,Zayed Cricket Stadium,24 October 2020
41,NitishRana,26,13,6,0,200.00,SRH,Zayed Cricket Stadium,26 September 2020
42,PriyamGarg,51,26,6,1,196.15,CSK,Dubai International Cricket Stadium,02 October 2020
43,BenStokes,50,26,6,3,192.30,KXIP,Zayed Cricket Stadium,30 October 2020
44,NicholasPooran,53,28,6,3,189.28,DC,Dubai International Cricket Stadium,20 October 2020
45,IshanKishan,68,37,6,5,183.78,CSK,Sharjah Cricket Stadium,23 October 2020
46,ShikharDhawan,57,33,6,2,172.72,RR,Dubai International Cricket Stadium,14 October 2020
47,SuryakumarYadav,47,28,6,1,167.85,KKR,Zayed Cricket Stadium,23 September 2020
48,SuryakumarYadav,53,32,6,1,165.62,DC,Zayed Cricket Stadium,11 October 2020
49,SteveSmith,57,36,6,1,158.33,RCB,Dubai International Cricket Stadium,17 October 2020
50,ChrisGayle,99,63,6,8,157.14,RR,Zayed Cricket Stadium,30 October 2020
51,ShikharDhawan,78,50,6,2,156.00,SRH,Zayed Cricket Stadium,08 November 2020
52,SuryakumarYadav,27,18,6,0,150.00,SRH,Sharjah Cricket Stadium,04 October 2020
53,ShubmanGill,36,24,6,0,150.00,RR,Dubai International Cricket Stadium,01 November 2020
54,AmbatiRayudu,71,48,6,3,147.91,MI,Zayed Cricket Stadium,19 September 2020
55,MayankAgarwal,56,39,6,1,143.58,KKR,Zayed Cricket Stadium,10 October 2020
56,JonnyBairstow,61,43,6,2,141.86,RCB,Dubai International Cricket Stadium,21 September 2020
57,MarcusStoinis,65,46,6,3,141.30,MI,Dubai International Cricket Stadium,05 November 2020
58,DevduttPadikkal,63,45,6,1,140.00,RR,Zayed Cricket Stadium,03 October 2020
59,RuturajGaikwad,72,53,6,2,135.84,KKR,Dubai International Cricket Stadium,29 October 2020
60,SuryakumarYadav,51,38,6,2,134.21,DC,Dubai International Cricket Stadium,05 November 2020
61,ShikharDhawan,69,52,6,1,132.69,MI,Zayed Cricket Stadium,11 October 2020
62,Fafdu Plessis,58,44,6,0,131.81,MI,Zayed Cricket Stadium,19 September 2020
63,ShikharDhawan,54,41,6,0,131.70,RCB,Zayed Cricket Stadium,02 November 2020
64,ShreyasIyer,65,50,6,2,130.00,MI,Dubai International Cricket Stadium,10 November 2020
65,ShaneWatson,36,28,6,0,128.57,DC,Sharjah Cricket Stadium,17 October 2020
66,KLRahul,74,58,6,0,127.58,KKR,Zayed Cricket Stadium,10 October 2020
67,RuturajGaikwad,62,49,6,1,126.53,KXIP,Zayed Cricket Stadium,01 November 2020
68,ShaneWatson,50,40,6,1,125.00,KKR,Zayed Cricket Stadium,07 October 2020
69,Fafdu Plessis,58,47,6,2,123.40,DC,Sharjah Cricket Stadium,17 October 2020
70,BenStokes,41,35,6,0,117.14,DC,Dubai International Cricket Stadium,14 October 2020
71,VijayShankar,52,51,6,0,101.96,RR,Dubai International Cricket Stadium,22 October 2020
72,RishabhPant,38,17,5,1,223.52,KKR,Sharjah Cricket Stadium,03 October 2020
73,ABde Villiers,73,33,5,6,221.21,KKR,Sharjah Cricket Stadium,12 October 2020
74,NicholasPooran,77,37,5,7,208.10,SRH,Dubai International Cricket Stadium,08 October 2020
75,EoinMorgan,68,35,5,6,194.28,RR,Dubai International Cricket Stadium,01 November 2020
76,AmbatiRayudu,38,20,5,1,190.00,KKR,Dubai International Cricket Stadium,29 October 2020
77,PrithviShaw,42,23,5,2,182.60,RCB,Dubai International Cricket Stadium,05 October 2020
78,MayankAgarwal,26,15,5,0,173.33,CSK,Zayed Cricket Stadium,01 November 2020
79,Quintonde Kock,33,20,5,0,165.00,CSK,Zayed Cricket Stadium,19 September 2020
80,Quintonde Kock,40,25,5,1,160.00,DC,Dubai International Cricket Stadium,05 November 2020
81,EoinMorgan,40,25,5,2,160.00,KXIP,Sharjah Cricket Stadium,26 October 2020
82,KaneWilliamson,41,26,5,0,157.69,DC,Zayed Cricket Stadium,29 September 2020
83,SteveSmith,31,20,5,0,155.00,KXIP,Zayed Cricket Stadium,30 October 2020
84,KaneWilliamson,67,45,5,4,148.88,DC,Zayed Cricket Stadium,08 November 2020
