POS,PLAYER,Distance (m)
1,NicholasPooran,106.00
2,NicholasPooran,105.00
3,JofraArcher,105.00
4,SanjuSamson,102.00
5,MSDhoni,102.00
6,ShaneWatson,101.00
7,NicholasPooran,100.00
8,AmbatiRayudu,100.00
9,AaronFinch,100.00
10,ShreyasIyer,99.00
11,ChrisGayle,99.00
12,KieronPollard,98.00
13,RavindraJadeja,98.00
14,RiyanParag,97.00
15,MarcusStoinis,97.00
16,ABde Villiers,97.00
17,AxarPatel,97.00
18,JonnyBairstow,97.00
19,NicholasPooran,97.00
20,KieronPollard,97.00
21,KieronPollard,97.00
22,NicholasPooran,96.00
23,HardikPandya,96.00
24,KieronPollard,96.00
25,ChrisGayle,96.00
26,KLRahul,95.00
27,KLRahul,95.00
28,ABde Villiers,95.00
29,DevduttPadikkal,95.00
30,SanjuSamson,95.00
31,DavidWarner,95.00
32,AxarPatel,95.00
33,NicholasPooran,94.00
34,HardikPandya,94.00
35,JosButtler,94.00
36,NicholasPooran,94.00
37,ManishPandey,94.00
38,SanjuSamson,94.00
39,DevduttPadikkal,94.00
40,KieronPollard,93.00
41,NitishRana,93.00
42,ManishPandey,93.00
43,JosButtler,93.00
44,IshanKishan,93.00
45,KaneWilliamson,93.00
46,SanjuSamson,93.00
47,SanjuSamson,92.00
48,MSDhoni,92.00
49,HardikPandya,92.00
50,NicholasPooran,92.00
51,ManishPandey,92.00
52,MarcusStoinis,92.00
53,KieronPollard,92.00
54,ShaneWatson,91.00
55,EoinMorgan,91.00
56,KieronPollard,91.00
57,ShreyasIyer,91.00
58,ShivamDube,91.00
59,HardikPandya,91.00
60,KieronPollard,91.00
61,ShreyasIyer,91.00
62,NicholasPooran,91.00
63,SteveSmith,91.00
64,JofraArcher,91.00
65,ViratKohli,91.00
66,DavidWarner,91.00
67,YashasviJaiswal,91.00
68,ManishPandey,91.00
69,NitishRana,90.00
70,JonnyBairstow,90.00
71,KrunalPandya,90.00
72,ABde Villiers,90.00
73,ABde Villiers,90.00
74,JosButtler,90.00
75,SanjuSamson,90.00
76,VijayShankar,90.00
77,IshanKishan,90.00
78,IshanKishan,90.00
79,RohitSharma,90.00
80,SamCurran,90.00
81,MarcusStoinis,90.00
82,ManishPandey,90.00
83,KLRahul,89.00
84,NicholasPooran,89.00
85,JosButtler,89.00
86,KLRahul,89.00
87,TomCurran,89.00
88,ManishPandey,89.00
89,AaronFinch,89.00
90,ManishPandey,89.00
91,AmbatiRayudu,89.00
92,KLRahul,89.00
93,ABde Villiers,89.00
94,RahulTewatia,89.00
95,RishabhPant,89.00
96,EoinMorgan,89.00
97,SanjuSamson,89.00
98,SamCurran,89.00
99,AjinkyaRahane,89.00
100,NicholasPooran,89.00
