POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
1,SanjuSamson,74,32,1,9,231.25,CSK,Sharjah Cricket Stadium,22 September 2020
2,IshanKishan,99,58,2,9,170.68,RCB,Dubai International Cricket Stadium,28 September 2020
3,ManishPandey,83,47,4,8,176.59,RR,Dubai International Cricket Stadium,22 October 2020
4,ChrisGayle,99,63,6,8,157.14,RR,Zayed Cricket Stadium,30 October 2020
5,HardikPandya,60,21,2,7,285.71,RR,Zayed Cricket Stadium,25 October 2020
6,MayankAgarwal,106,50,10,7,212.00,RR,Sharjah Cricket Stadium,27 September 2020
7,NicholasPooran,77,37,5,7,208.10,SRH,Dubai International Cricket Stadium,08 October 2020
8,SanjuSamson,85,42,4,7,202.38,KXIP,Sharjah Cricket Stadium,27 September 2020
9,Fafdu Plessis,72,37,1,7,194.59,RR,Sharjah Cricket Stadium,22 September 2020
10,KLRahul,132,69,14,7,191.30,RCB,Dubai International Cricket Stadium,24 September 2020
11,RahulTewatia,53,31,0,7,170.96,KXIP,Sharjah Cricket Stadium,27 September 2020
12,ABde Villiers,55,22,1,6,250.00,RR,Dubai International Cricket Stadium,17 October 2020
13,ShreyasIyer,88,38,7,6,231.57,KKR,Sharjah Cricket Stadium,03 October 2020
14,ABde Villiers,73,33,5,6,221.21,KKR,Sharjah Cricket Stadium,12 October 2020
15,EoinMorgan,68,35,5,6,194.28,RR,Dubai International Cricket Stadium,01 November 2020
16,JonnyBairstow,97,55,7,6,176.36,KXIP,Dubai International Cricket Stadium,08 October 2020
17,RohitSharma,80,54,3,6,148.14,KKR,Zayed Cricket Stadium,23 September 2020
18,HardikPandya,37,14,0,5,264.28,DC,Dubai International Cricket Stadium,05 November 2020
19,KieronPollard,60,24,3,5,250.00,RCB,Dubai International Cricket Stadium,28 September 2020
20,EoinMorgan,44,18,1,5,244.44,DC,Sharjah Cricket Stadium,03 October 2020
21,ShimronHetmyer,45,24,1,5,187.50,RR,Sharjah Cricket Stadium,09 October 2020
22,IshanKishan,68,37,6,5,183.78,CSK,Sharjah Cricket Stadium,23 October 2020
23,ChrisGayle,51,29,2,5,175.86,KKR,Sharjah Cricket Stadium,26 October 2020
24,JosButtler,70,44,4,5,159.09,MI,Zayed Cricket Stadium,06 October 2020
25,KLRahul,61,49,1,5,124.48,RCB,Sharjah Cricket Stadium,15 October 2020
26,ChrisGayle,53,45,1,5,117.77,RCB,Sharjah Cricket Stadium,15 October 2020
27,JofraArcher,27,8,0,4,337.50,CSK,Sharjah Cricket Stadium,22 September 2020
28,KieronPollard,34,12,1,4,283.33,KXIP,Dubai International Cricket Stadium,18 October 2020
29,PatCummins,33,12,1,4,275.00,MI,Zayed Cricket Stadium,23 September 2020
30,RavindraJadeja,33,13,0,4,253.84,DC,Sharjah Cricket Stadium,17 October 2020
31,KieronPollard,47,20,3,4,235.00,KXIP,Zayed Cricket Stadium,01 October 2020
32,ABde Villiers,55,24,4,4,229.16,MI,Dubai International Cricket Stadium,28 September 2020
33,DeepakHooda,62,30,3,4,206.66,CSK,Zayed Cricket Stadium,01 November 2020
34,SunilNarine,64,32,6,4,200.00,DC,Zayed Cricket Stadium,24 October 2020
35,AmbatiRayudu,45,25,1,4,180.00,DC,Sharjah Cricket Stadium,17 October 2020
36,ViratKohli,90,52,4,4,173.07,CSK,Dubai International Cricket Stadium,10 October 2020
37,Quintonde Kock,67,39,4,4,171.79,SRH,Sharjah Cricket Stadium,04 October 2020
38,NitishRana,58,35,4,4,165.71,DC,Sharjah Cricket Stadium,03 October 2020
39,KieronPollard,41,25,2,4,164.00,SRH,Sharjah Cricket Stadium,03 November 2020
40,PrithviShaw,66,41,4,4,160.97,KKR,Sharjah Cricket Stadium,03 October 2020
41,ShaneWatson,33,21,1,4,157.14,RR,Sharjah Cricket Stadium,22 September 2020
42,KaneWilliamson,67,45,5,4,148.88,DC,Zayed Cricket Stadium,08 November 2020
43,MayankAgarwal,89,60,7,4,148.33,DC,Dubai International Cricket Stadium,20 September 2020
44,SteveSmith,69,47,4,4,146.80,CSK,Sharjah Cricket Stadium,22 September 2020
45,NitishRana,87,61,10,4,142.62,CSK,Dubai International Cricket Stadium,29 October 2020
46,RohitSharma,68,51,5,4,133.33,DC,Dubai International Cricket Stadium,10 November 2020
47,MarcusStoinis,39,30,0,4,130.00,RR,Sharjah Cricket Stadium,09 October 2020
48,ShubmanGill,57,45,3,4,126.66,KXIP,Sharjah Cricket Stadium,26 October 2020
