POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,IshanKishan,14,13,4,516,99,57.33,354,145.76,0,4,36,30
2,SanjuSamson,14,14,1,375,85,28.84,236,158.89,0,3,21,26
3,HardikPandya,14,13,5,281,60*,35.12,157,178.98,0,1,14,25
4,NicholasPooran,14,14,4,353,77,35.30,208,169.71,0,2,23,25
5,EoinMorgan,14,14,4,418,68*,41.80,302,138.41,0,1,32,24
6,ChrisGayle,7,7,0,288,99,41.14,210,137.14,0,3,15,23
7,KLRahul,14,14,2,670,132*,55.83,518,129.34,1,5,58,23
8,ABde Villiers,15,14,4,454,73*,45.40,286,158.74,0,5,33,23
9,KieronPollard,16,12,7,268,60*,53.60,140,191.42,0,1,15,22
10,Quintonde Kock,16,16,2,503,78*,35.92,358,140.50,0,4,46,22
11,RohitSharma,12,12,0,332,80,27.66,260,127.69,0,3,27,19
12,ManishPandey,16,15,2,425,83*,32.69,333,127.62,0,3,35,18
13,RahulTewatia,14,11,5,255,53,42.50,183,139.34,0,1,13,17
14,JosButtler,13,12,2,328,70*,32.80,227,144.49,0,2,27,16
15,MarcusStoinis,17,17,3,352,65,25.14,237,148.52,0,3,31,16
16,ShreyasIyer,17,17,2,519,88*,34.60,421,123.27,0,3,40,16
17,MayankAgarwal,11,11,0,424,106,38.54,271,156.45,1,2,44,15
18,Fafdu Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,42,14
19,DavidWarner,16,16,2,548,85*,39.14,407,134.64,0,4,52,14
20,ShaneWatson,11,11,1,299,83*,29.90,247,121.05,0,2,33,13
21,JonnyBairstow,11,11,0,345,97,31.36,272,126.83,0,3,31,13
22,AmbatiRayudu,12,11,2,359,71,39.88,282,127.30,0,1,30,12
23,ShimronHetmyer,12,11,3,185,45,23.12,125,148.00,0,0,11,12
24,SamCurran,14,11,3,186,52,23.25,141,131.91,0,1,12,12
25,NitishRana,14,14,0,352,87,25.14,254,138.58,0,3,43,12
26,ShikharDhawan,17,17,3,618,106*,44.14,427,144.73,2,4,67,12
27,RavindraJadeja,14,11,6,232,50,46.40,135,171.85,0,1,22,11
28,ViratKohli,15,15,4,466,90*,42.36,384,121.35,0,3,23,11
29,SuryakumarYadav,16,15,3,480,79*,40.00,331,145.01,0,4,61,11
30,RahulTripathi,11,11,1,230,81,23.00,181,127.07,0,1,21,10
31,KaneWilliamson,12,11,4,317,67,45.28,237,133.75,0,3,26,10
32,JofraArcher,14,10,4,113,27*,18.83,63,179.36,0,0,5,10
33,AndreRussell,10,9,0,117,25,13.00,81,144.44,0,0,9,9
34,ShivamDube,11,9,2,129,27*,18.42,105,122.85,0,0,5,9
35,RishabhPant,14,14,3,343,56,31.18,301,113.95,0,1,31,9
36,ShubmanGill,14,14,1,440,70*,33.84,373,117.96,0,3,44,9
37,SteveSmith,14,14,2,311,69,25.91,237,131.22,0,3,32,9
38,SunilNarine,10,9,0,121,64,13.44,85,142.35,0,1,10,8
39,AaronFinch,12,12,0,268,52,22.33,241,111.20,0,1,28,8
40,PrithviShaw,13,13,0,228,66,17.53,167,136.52,0,2,27,8
41,PatCummins,14,11,4,146,53*,20.85,114,128.07,0,1,9,8
