POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
2,JasonHolder,7,7,28,233,14,3/25,16.64,8.32,12.00,0,0
3,RashidKhan,16,16,64,344,20,3/7,17.20,5.37,19.20,0,0
4,ShivamDube,11,5,9,73,4,2/15,18.25,8.11,13.50,0,0
5,JofraArcher,14,14,55.4,365,20,3/19,18.25,6.55,16.70,0,0
6,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
7,TrentBoult,15,15,57.2,457,25,4/18,18.28,7.97,13.76,1,0
8,LungiNgidi,4,4,16,167,9,3/38,18.55,10.43,10.66,0,0
9,ChrisMorris,9,9,31.4,210,11,4/26,19.09,6.63,17.27,1,0
10,YuzvendraChahal,15,15,57.1,405,21,3/18,19.28,7.08,16.33,0,0
11,VijayShankar,7,5,13.1,82,4,1/11,20.50,6.22,19.75,0,0
12,VarunChakravarthy,13,13,52,356,17,5/20,20.94,6.84,18.35,0,1
13,MohammedSiraj,9,9,27.1,236,11,3/8,21.45,8.68,14.81,0,0
14,MarcusStoinis,17,13,29.4,283,13,3/26,21.76,9.53,13.69,0,0
15,ShahbazAhmed,2,2,6,44,2,2/26,22.00,7.33,18.00,0,0
16,MohammadShami,14,14,53.4,460,20,3/15,23.00,8.57,16.10,0,0
17,AnrichNortje,16,16,61,512,22,3/33,23.27,8.39,16.63,0,0
18,MuruganAshwin,9,9,31.3,235,10,3/21,23.50,7.46,18.90,0,0
19,ShivamMavi,8,8,26,212,9,2/15,23.55,8.15,17.33,0,0
20,AmitMishra,3,3,10,72,3,2/35,24.00,7.20,20.00,0,0
21,ArshdeepSingh,8,8,24.5,218,9,3/23,24.22,8.77,16.55,0,0
22,LockieFerguson,5,5,19.5,148,6,3/15,24.66,7.46,19.83,0,0
23,SamCurran,14,13,42,344,13,3/19,26.46,8.19,19.38,0,0
