POS,PLAYER,Ov,Econ,Dots,Runs,Wkts,SR,Against,Venue,Match Date
1,RashidKhan,4,1.75,17,7,3,8.00,DC,Dubai International Cricket Stadium,27 October 2020
2,MohammedSiraj,4,2.00,16,8,3,8.00,KKR,Zayed Cricket Stadium,21 October 2020
3,TNatarajan,4,2.75,16,11,1,24.00,RCB,Sharjah Cricket Stadium,31 October 2020
4,RashidKhan,4,3.00,13,12,3,8.00,KXIP,Dubai International Cricket Stadium,08 October 2020
5,AdamZampa,4,3.00,14,12,1,24.00,SRH,Zayed Cricket Stadium,06 November 2020
6,WashingtonSundar,4,3.00,13,12,1,24.00,MI,Dubai International Cricket Stadium,28 September 2020
7,YuzvendraChahal,4,3.00,13,12,1,24.00,KKR,Sharjah Cricket Stadium,12 October 2020
8,RashidKhan,4,3.00,16,12,0,-,CSK,Dubai International Cricket Stadium,02 October 2020
9,RaviBishnoi,4,3.25,14,13,1,24.00,SRH,Dubai International Cricket Stadium,24 October 2020
10,DeepakChahar,3,3.33,10,10,1,18.00,RCB,Dubai International Cricket Stadium,10 October 2020
11,JaspritBumrah,4,3.50,17,14,4,6.00,DC,Dubai International Cricket Stadium,05 November 2020
12,RashidKhan,4,3.50,13,14,3,8.00,DC,Zayed Cricket Stadium,29 September 2020
13,JaspritBumrah,4,3.50,15,14,3,8.00,RCB,Zayed Cricket Stadium,28 October 2020
14,RashidKhan,4,3.50,15,14,2,12.00,KXIP,Dubai International Cricket Stadium,24 October 2020
15,AxarPatel,4,3.50,11,14,1,24.00,KXIP,Dubai International Cricket Stadium,20 September 2020
16,ShreyasGopal,4,3.50,12,14,1,24.00,CSK,Zayed Cricket Stadium,19 October 2020
17,WashingtonSundar,4,3.50,14,14,1,24.00,KKR,Zayed Cricket Stadium,21 October 2020
18,RavindraJadeja,2,3.50,6,7,0,-,RCB,Dubai International Cricket Stadium,10 October 2020
19,MohammadShami,4,3.75,15,15,3,8.00,DC,Dubai International Cricket Stadium,20 September 2020
20,LockieFerguson,4,3.75,13,15,3,8.00,SRH,Zayed Cricket Stadium,18 October 2020
21,YuzvendraChahal,4,3.75,13,15,2,12.00,KKR,Zayed Cricket Stadium,21 October 2020
22,ShivamMavi,4,3.75,14,15,2,12.00,RR,Dubai International Cricket Stadium,01 November 2020
23,AxarPatel,2,4.00,6,8,1,12.00,RR,Sharjah Cricket Stadium,09 October 2020
24,ChrisMorris,4,4.00,15,16,0,-,KKR,Zayed Cricket Stadium,21 October 2020
25,AxarPatel,4,4.00,11,16,0,-,MI,Dubai International Cricket Stadium,10 November 2020
26,ChrisJordan,4,4.25,12,17,3,8.00,SRH,Dubai International Cricket Stadium,24 October 2020
27,PatCummins,4,4.25,16,17,3,8.00,DC,Zayed Cricket Stadium,24 October 2020
28,JaspritBumrah,4,4.25,15,17,3,8.00,DC,Dubai International Cricket Stadium,31 October 2020
29,ChrisMorris,4,4.25,10,17,2,12.00,KKR,Sharjah Cricket Stadium,12 October 2020
30,LockieFerguson,4,4.25,14,17,1,24.00,RCB,Zayed Cricket Stadium,21 October 2020
31,RavichandranAshwin,4,4.25,10,17,1,24.00,RR,Dubai International Cricket Stadium,14 October 2020
32,MuruganAshwin,4,4.25,8,17,0,-,CSK,Zayed Cricket Stadium,01 November 2020
33,PatCummins,3,4.33,12,13,1,18.00,RR,Dubai International Cricket Stadium,30 September 2020
34,KrunalPandya,3,4.33,9,13,0,-,DC,Dubai International Cricket Stadium,31 October 2020
35,TrentBoult,4,4.50,17,18,4,6.00,CSK,Sharjah Cricket Stadium,23 October 2020
36,YuzvendraChahal,4,4.50,11,18,3,8.00,SRH,Dubai International Cricket Stadium,21 September 2020
37,RahulChahar,4,4.50,13,18,2,12.00,KKR,Zayed Cricket Stadium,16 October 2020
