POS,PLAYER,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,RavichandranAshwin,1,2,2,3.00,KXIP,Dubai International Cricket Stadium,20 September 2020
2,VarunChakravarthy,4,20,5,4.80,DC,Zayed Cricket Stadium,24 October 2020
3,PatCummins,4,34,4,6.00,RR,Dubai International Cricket Stadium,01 November 2020
4,ChrisMorris,4,26,4,6.00,RR,Dubai International Cricket Stadium,17 October 2020
5,JaspritBumrah,4,20,4,6.00,RR,Zayed Cricket Stadium,06 October 2020
6,JaspritBumrah,4,14,4,6.00,DC,Dubai International Cricket Stadium,05 November 2020
7,TrentBoult,4,18,4,6.00,CSK,Sharjah Cricket Stadium,23 October 2020
8,KagisoRabada,4,29,4,6.00,SRH,Zayed Cricket Stadium,08 November 2020
9,KagisoRabada,4,24,4,6.00,RCB,Dubai International Cricket Stadium,05 October 2020
10,RaviBishnoi,3,29,3,6.00,SRH,Dubai International Cricket Stadium,08 October 2020
11,MarcusStoinis,3,26,3,6.00,SRH,Zayed Cricket Stadium,08 November 2020
12,MuruganAshwin,3,21,3,6.00,RCB,Dubai International Cricket Stadium,24 September 2020
13,SamCurran,3,19,3,6.00,RCB,Dubai International Cricket Stadium,25 October 2020
14,KamleshNagarkoti,2,13,2,6.00,RR,Dubai International Cricket Stadium,30 September 2020
15,MarcusStoinis,2,17,2,6.00,RR,Sharjah Cricket Stadium,09 October 2020
16,TrentBoult,2,9,2,6.00,DC,Dubai International Cricket Stadium,05 November 2020
17,KagisoRabada,3.4,35,3,7.33,RR,Sharjah Cricket Stadium,09 October 2020
18,ArshdeepSingh,3.5,23,3,7.66,SRH,Dubai International Cricket Stadium,24 October 2020
19,RavichandranAshwin,4,29,3,8.00,MI,Dubai International Cricket Stadium,05 November 2020
20,JofraArcher,4,19,3,8.00,DC,Dubai International Cricket Stadium,14 October 2020
21,RahulTewatia,4,25,3,8.00,KKR,Dubai International Cricket Stadium,01 November 2020
22,JaspritBumrah,4,17,3,8.00,DC,Dubai International Cricket Stadium,31 October 2020
23,YuzvendraChahal,4,18,3,8.00,SRH,Dubai International Cricket Stadium,21 September 2020
24,PrasidhKrishna,4,29,3,8.00,KXIP,Zayed Cricket Stadium,10 October 2020
25,JaspritBumrah,4,14,3,8.00,RCB,Zayed Cricket Stadium,28 October 2020
26,KagisoRabada,4,26,3,8.00,CSK,Dubai International Cricket Stadium,25 September 2020
27,MohammedSiraj,4,8,3,8.00,KKR,Zayed Cricket Stadium,21 October 2020
28,JofraArcher,4,24,3,8.00,DC,Sharjah Cricket Stadium,09 October 2020
29,LockieFerguson,4,15,3,8.00,SRH,Zayed Cricket Stadium,18 October 2020
30,YuzvendraChahal,4,24,3,8.00,RR,Zayed Cricket Stadium,03 October 2020
31,TrentBoult,4,30,3,8.00,DC,Dubai International Cricket Stadium,10 November 2020
