POS,PLAYER,Ov,Maid,Dots,Runs,Wkts,SR,Against,Venue,Match Date
1,RashidKhan,4,0,17,7,3,8.00,DC,Dubai International Cricket Stadium,27 October 2020
2,JaspritBumrah,4,1,17,14,4,6.00,DC,Dubai International Cricket Stadium,05 November 2020
3,TrentBoult,4,1,17,18,4,6.00,CSK,Sharjah Cricket Stadium,23 October 2020
4,DeepakChahar,4,1,17,18,2,12.00,RR,Zayed Cricket Stadium,19 October 2020
5,MohammedSiraj,4,2,16,8,3,8.00,KKR,Zayed Cricket Stadium,21 October 2020
6,TNatarajan,4,0,16,11,1,24.00,RCB,Sharjah Cricket Stadium,31 October 2020
7,RashidKhan,4,0,16,12,0,-,CSK,Dubai International Cricket Stadium,02 October 2020
8,PatCummins,4,0,16,17,3,8.00,DC,Zayed Cricket Stadium,24 October 2020
9,NavdeepSaini,4,0,16,18,0,-,CSK,Dubai International Cricket Stadium,10 October 2020
10,TrentBoult,4,0,16,21,3,8.00,DC,Dubai International Cricket Stadium,31 October 2020
11,JofraArcher,4,0,16,21,2,12.00,SRH,Dubai International Cricket Stadium,22 October 2020
12,JaspritBumrah,4,1,15,14,3,8.00,RCB,Zayed Cricket Stadium,28 October 2020
13,RashidKhan,4,0,15,14,2,12.00,KXIP,Dubai International Cricket Stadium,24 October 2020
14,MohammadShami,4,0,15,15,3,8.00,DC,Dubai International Cricket Stadium,20 September 2020
15,ChrisMorris,4,1,15,16,0,-,KKR,Zayed Cricket Stadium,21 October 2020
16,JaspritBumrah,4,0,15,17,3,8.00,DC,Dubai International Cricket Stadium,31 October 2020
17,JofraArcher,4,0,15,18,1,24.00,RCB,Zayed Cricket Stadium,03 October 2020
18,JofraArcher,4,0,15,19,1,24.00,KKR,Dubai International Cricket Stadium,01 November 2020
19,ArshdeepSingh,4,1,15,25,1,24.00,KKR,Zayed Cricket Stadium,10 October 2020
20,AdamZampa,4,0,14,12,1,24.00,SRH,Zayed Cricket Stadium,06 November 2020
21,RaviBishnoi,4,0,14,13,1,24.00,SRH,Dubai International Cricket Stadium,24 October 2020
22,WashingtonSundar,4,1,14,14,1,24.00,KKR,Zayed Cricket Stadium,21 October 2020
23,ShivamMavi,4,1,14,15,2,12.00,RR,Dubai International Cricket Stadium,01 November 2020
24,LockieFerguson,4,0,14,17,1,24.00,RCB,Zayed Cricket Stadium,21 October 2020
25,JofraArcher,4,0,14,18,2,12.00,KKR,Dubai International Cricket Stadium,30 September 2020
26,ChrisMorris,4,0,14,19,3,8.00,CSK,Dubai International Cricket Stadium,10 October 2020
27,JofraArcher,4,0,14,19,3,8.00,DC,Dubai International Cricket Stadium,14 October 2020
28,JoshHazlewood,4,0,14,19,1,24.00,RR,Zayed Cricket Stadium,19 October 2020
29,JaspritBumrah,4,0,14,20,4,6.00,RR,Zayed Cricket Stadium,06 October 2020
30,SheldonCottrell,4,1,14,20,1,24.00,MI,Zayed Cricket Stadium,01 October 2020
31,NavdeepSaini,4,0,14,21,0,-,KXIP,Sharjah Cricket Stadium,15 October 2020
32,NathanCoulter-Nile,4,0,14,25,1,24.00,CSK,Sharjah Cricket Stadium,23 October 2020
33,JofraArcher,4,0,14,25,1,24.00,SRH,Dubai International Cricket Stadium,11 October 2020
34,MohammedSiraj,4,0,14,28,2,12.00,SRH,Zayed Cricket Stadium,06 November 2020
35,JaspritBumrah,4,0,14,32,2,12.00,KKR,Zayed Cricket Stadium,23 September 2020
36,SandeepSharma,4,0,14,34,3,8.00,MI,Sharjah Cricket Stadium,03 November 2020
37,RashidKhan,4,1,13,12,3,8.00,KXIP,Dubai International Cricket Stadium,08 October 2020
38,WashingtonSundar,4,0,13,12,1,24.00,MI,Dubai International Cricket Stadium,28 September 2020
