POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
2,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
3,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
4,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
5,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
6,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
7,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
8,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
9,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
10,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
11,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
12,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
13,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
14,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
15,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
16,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
17,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
18,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
19,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
20,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
21,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
22,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
23,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
24,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
25,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
26,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
27,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
28,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
29,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
30,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
31,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
32,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
33,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
34,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
35,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
36,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
37,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
38,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
39,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
40,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
41,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
42,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
43,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
44,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
45,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
46,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
47,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
48,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
49,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
50,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
51,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
52,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
53,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
54,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
55,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
56,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
57,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
58,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
59,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
60,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
61,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
62,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
63,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
64,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
65,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
66,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
67,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
68,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
69,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
70,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
71,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
72,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
73,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
74,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
75,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
76,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
77,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
78,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
79,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
80,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
81,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
82,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
83,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
84,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
85,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
86,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
87,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
88,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
89,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
90,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
91,KagisoRabada,17,17,65.4,548,30,4/24,18.26,8.34,13.13,2,0
92,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
93,JaspritBumrah,15,15,60,404,27,4/14,14.96,6.73,13.33,2,0
