POS,PLAYER,Ov,Runs,Wkts,SR,Against,Venue,Match Date
1,SiddarthKaul,4,64,2,12.00,MI,Sharjah Cricket Stadium,04 October 2020
2,AnkitRajpoot,4,60,0,-,MI,Zayed Cricket Stadium,25 October 2020
3,DaleSteyn,4,57,0,-,KXIP,Dubai International Cricket Stadium,24 September 2020
4,ChrisJordan,4,56,0,-,DC,Dubai International Cricket Stadium,20 September 2020
5,LungiNgidi,4,56,1,24.00,RR,Sharjah Cricket Stadium,22 September 2020
6,PiyushChawla,4,55,1,24.00,RR,Sharjah Cricket Stadium,22 September 2020
7,LockieFerguson,4,54,0,-,CSK,Dubai International Cricket Stadium,29 October 2020
8,KagisoRabada,4,54,0,-,SRH,Dubai International Cricket Stadium,27 October 2020
9,TomCurran,4,54,1,24.00,CSK,Sharjah Cricket Stadium,22 September 2020
10,AdamZampa,4,53,1,24.00,MI,Dubai International Cricket Stadium,28 September 2020
11,MohammadShami,4,53,3,8.00,RR,Sharjah Cricket Stadium,27 September 2020
12,JimmyNeesham,4,52,0,-,MI,Zayed Cricket Stadium,01 October 2020
13,SheldonCottrell,3,52,1,18.00,RR,Sharjah Cricket Stadium,27 September 2020
14,JamesPattinson,4,51,0,-,RCB,Dubai International Cricket Stadium,28 September 2020
15,NathanCoulter-Nile,4,51,1,24.00,KKR,Zayed Cricket Stadium,16 October 2020
16,KagisoRabada,4,51,1,24.00,KKR,Sharjah Cricket Stadium,03 October 2020
17,AndreRussell,4,51,1,24.00,RCB,Sharjah Cricket Stadium,12 October 2020
18,JasonHolder,4,50,1,24.00,DC,Zayed Cricket Stadium,08 November 2020
19,AnrichNortje,4,50,1,24.00,MI,Dubai International Cricket Stadium,05 November 2020
20,AndrewTye,4,50,1,24.00,DC,Sharjah Cricket Stadium,09 October 2020
21,PatCummins,4,49,0,-,DC,Sharjah Cricket Stadium,03 October 2020
22,VarunChakravarthy,4,49,1,24.00,DC,Sharjah Cricket Stadium,03 October 2020
23,PatCummins,3,49,0,-,MI,Zayed Cricket Stadium,23 September 2020
24,UmeshYadav,4,48,0,-,SRH,Dubai International Cricket Stadium,21 September 2020
25,ShahbazNadeem,4,48,0,-,DC,Zayed Cricket Stadium,08 November 2020
26,TrentBoult,4,48,0,-,KXIP,Dubai International Cricket Stadium,18 October 2020
27,YuzvendraChahal,4,48,1,24.00,MI,Dubai International Cricket Stadium,28 September 2020
28,SamCurran,4,48,1,24.00,RCB,Dubai International Cricket Stadium,10 October 2020
