POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,JofraArcher,305,14,20,175,5,10,5,0
2,KagisoRabada,298,17,30,156,4,2,8,0
3,JaspritBumrah,269.5,15,27,175,0,0,0,0
4,RashidKhan,260,16,20,168,3,2,3,0
5,TrentBoult,254.5,15,25,157,0,0,4,0
6,KLRahul,250.5,14,0,0,58,23,10,0
7,AnrichNortje,247,16,22,160,0,0,4,0
8,Quintonde Kock,247,16,0,0,46,22,18,4
9,RahulTewatia,244.5,14,10,95,13,17,9,0
10,PatCummins,240,14,12,140,9,8,3,0
11,MarcusStoinis,236.5,17,13,50,31,16,3,0
12,SamCurran,226,14,13,91,12,12,7,0
13,ShikharDhawan,222,17,0,0,67,12,5,0
14,MohammadShami,215,14,20,140,0,0,2,0
15,SuryakumarYadav,211,16,0,0,61,11,8,0
16,DavidWarner,209,16,0,0,52,14,12,0
17,TNatarajan,199.5,16,16,136,0,0,3,0
18,IshanKishan,197.5,14,0,0,36,30,1,0
19,YuzvendraChahal,194,15,21,118,0,0,1,0
20,ABde Villiers,190.5,15,0,0,33,23,10,1
21,AxarPatel,189.5,15,9,100,6,8,6,0
22,Fafdu Plessis,184,13,0,0,42,14,12,0
23,RavindraJadeja,183,14,6,56,22,11,5,0
24,KieronPollard,181.5,16,4,33,15,22,8,0
25,VarunChakravarthy,178,13,17,111,0,0,3,0
26,MayankAgarwal,177.5,11,0,0,44,15,6,0
27,DevduttPadikkal,175.5,15,0,0,51,8,8,0
28,WashingtonSundar,174,15,8,114,10,2,0,0
29,RaviBishnoi,171.5,14,12,122,1,0,2,0
30,EoinMorgan,171.5,14,0,0,32,24,3,0
31,ShreyasIyer,171,17,0,0,40,16,6,0
32,KrunalPandya,171,16,6,100,9,5,4,0
33,SanjuSamson,171,14,0,0,21,26,9,2
34,SandeepSharma,170.5,13,14,119,1,0,0,0
35,ManishPandey,168,16,0,0,35,18,7,0
36,DeepakChahar,167.5,14,12,118,0,0,3,0
37,RahulChahar,166.5,15,15,104,0,0,4,0
38,RavichandranAshwin,162.5,15,13,101,3,1,2,0
39,NicholasPooran,162.5,14,0,0,23,25,7,0
40,ChrisMorris,162.5,9,11,91,2,3,7,0
41,BenStokes,160.5,8,2,24,36,7,6,0
42,ShubmanGill,159,14,0,0,44,9,7,0
43,NitishRana,154.5,14,0,0,43,12,2,0
44,NavdeepSaini,149.5,13,6,116,3,0,2,0
45,RohitSharma,149,12,0,0,27,19,6,0
46,JonnyBairstow,143,11,0,0,31,13,7,1
47,SunilNarine,142.5,10,5,67,10,8,2,0
48,RishabhPant,141.5,14,0,0,31,9,13,0
49,JosButtler,138.5,13,0,0,27,16,6,0
50,HardikPandya,137.5,14,0,0,14,25,6,0
51,ShreyasGopal,133.5,14,10,86,3,0,2,0
52,ShaneWatson,133,11,0,0,33,13,2,0
53,MohammedSiraj,130.5,9,11,77,2,0,4,0
54,JasonHolder,130,7,14,58,5,3,0,0
55,JamesPattinson,126.5,10,11,78,2,0,2,0
56,AmbatiRayudu,124.5,12,0,0,30,12,3,0
57,ChrisGayle,120.5,7,0,0,15,23,1,0
58,KartikTyagi,119.5,10,9,83,0,0,2,0
59,AndreRussell,119,10,6,39,9,9,2,0
60,SteveSmith,116.5,14,0,0,32,9,2,0
61,MuruganAshwin,115,9,10,70,0,0,4,0
62,KaneWilliamson,115,12,0,0,26,10,6,0
63,ChrisJordan,111,9,9,62,2,0,5,0
64,ShardulThakur,108,9,10,68,0,0,2,0
65,ShivamMavi,107,8,9,63,1,0,4,0
66,PrithviShaw,105.5,13,0,0,27,8,4,0
67,AaronFinch,105.5,12,0,0,28,8,3,0
68,MSDhoni,104.5,14,0,0,16,7,15,1
69,ViratKohli,103.5,15,0,0,23,11,3,0
70,NathanCoulter-Nile,101.5,7,5,69,4,0,2,0
71,RahulTripathi,95,11,0,0,21,10,3,0
72,ArshdeepSingh,92.5,8,9,56,0,0,2,0
73,KhaleelAhmed,92.5,7,8,62,0,0,1,0
74,IsuruUdana,90.5,10,8,49,1,1,3,0
75,ShimronHetmyer,87,12,0,0,11,12,7,0
76,DineshKarthik,86.5,14,0,0,20,4,9,0
77,WriddhimanSaha,85,4,0,0,24,5,2,1
78,LockieFerguson,82.5,5,6,48,4,1,0,0
79,GlennMaxwell,80,13,3,37,9,0,4,0
80,SheldonCottrell,80,6,6,59,0,0,0,0
81,RobinUthappa,79.5,12,0,0,19,7,3,0
82,ShivamDube,77,11,4,14,5,9,2,0
83,KamleshNagarkoti,76,10,5,46,1,0,4,0
84,VijayShankar,76,7,4,31,10,1,1,0
85,RuturajGaikwad,71,6,0,0,16,6,4,0
86,LungiNgidi,66.5,4,9,35,0,0,0,0
87,AbdulSamad,66,12,1,9,8,6,5,0
88,TomCurran,61,5,3,25,5,3,1,0
89,DwayneBravo,58.5,6,6,35,0,0,1,0
90,PiyushChawla,58,7,6,37,0,0,0,0
91,ShahbazNadeem,53.5,7,5,31,1,0,1,0
92,PrasidhKrishna,51.5,6,4,35,0,0,1,0
93,JaydevUnadkat,51.5,7,4,35,0,0,1,0
94,PriyamGarg,51.5,14,0,0,9,4,6,0
95,TusharDeshpande,50.5,5,3,29,2,1,1,0
